DATA,3,1,-1,3,1,5
DATA,7,2,3,6,6,14
DATA,10,3,3,9,13,22
DATA,11,4,3,10,15,28
DATA,12,5,-1,9,24,32
DATA,15,6,-1,12,37,40
DATA,17,7,-1,13,47,48
DATA,19,8,3,14,60,54
DATA,21,9,-1,15,71,60
DATA,25,10,3,18,81,70
DATA,28,11,3,21,91,78
DATA,29,12,3,22,98,84
DATA,30,13,-1,21,108,88
DATA,34,14,3,24,118,98
DATA,37,15,3,27,128,106
DATA,38,16,3,28,140,112
DATA,39,17,-1,27,153,118
DATA,40,18,3,26,165,122
DATA,41,19,3,25,173,128
DATA,42,20,-1,24,193,132
DATA,44,21,-1,25,206,140
DATA,46,22,3,26,221,146
DATA,48,23,-1,27,232,152
DATA,51,24,-1,30,245,160
DATA,53,25,-1,31,262,168
DATA,54,26,-1,30,269,174
DATA,55,27,3,29,282,178
DATA,57,28,-1,30,299,184
DATA,59,29,-1,31,313,192
DATA,61,30,3,32,327,198
DATA,64,31,3,35,342,206
DATA,65,32,3,34,351,212
DATA,66,33,-1,33,361,216
DATA,69,34,-1,36,375,224
DATA,71,35,-1,37,387,232
DATA,73,36,3,38,400,238
DATA,75,37,-1,39,411,244
DATA,79,38,3,42,421,254
DATA,82,39,3,45,431,262
DATA,83,40,3,46,438,268
DATA,84,41,-1,45,448,272
DATA,88,42,3,48,458,282
DATA,91,43,3,51,468,290
DATA,92,44,3,52,480,296
DATA,93,45,-1,51,493,302
DATA,94,46,3,50,505,306
DATA,95,47,3,49,513,312
DATA,96,48,-1,48,533,316
DATA,98,49,-1,49,546,324
DATA,100,50,3,50,561,330
DATA,102,51,-1,51,572,336
DATA,106,52,3,54,582,346
DATA,109,53,3,57,592,354
DATA,110,54,3,58,599,360
DATA,111,55,-1,57,609,364
DATA,115,56,3,60,619,374
DATA,118,57,3,63,629,382
DATA,119,58,3,64,641,388
DATA,120,59,-1,63,654,394
DATA,121,60,3,62,668,398
DATA,122,61,3,61,684,404
DATA,123,62,-1,60,707,410
DATA,124,63,3,59,719,416
DATA,125,64,-1,58,731,420
DATA,127,65,3,59,755,426
